program,params,maxtime
bm_gzip.rb,100,10.465,10.349,10.562,7.745933742
bm_hilbert_matrix.rb,10,0.136,0.307,0.295,0.00576731
bm_hilbert_matrix.rb,20,0.247,0.34,0.3,0.037053162
bm_hilbert_matrix.rb,30,0.574,0.57,0.681,0.137032901
bm_hilbert_matrix.rb,40,0.437,0.768,1.164,0.373695473
bm_hilbert_matrix.rb,50,0.938,0.867,0.859,0.959145618
bm_hilbert_matrix.rb,60,1.867,1.709,1.699,2.087305978
bm_mpart.rb,300,0.863,0.821,0.829,0.271841166
bm_norvig_spelling.rb,50,6.341,6.5,6.464,5.335100069
bm_parse_log.rb,100,0.976,0.982,1.135,0.72206111
bm_rcs.rb,100,1.869,2.186,2.169,0.250024767
bm_sudoku.rb,1,4.323,4.244,4.181,2.016862901
bm_app_fib.rb,30,0.168,0.169,0.133,0.28800595
bm_app_fib.rb,35,0.41,0.449,0.41,3.081128642
bm_app_mandelbrot.rb,1,0.524,0.586,0.577,0.207078017
bm_app_pentomino.rb,1,43.864,36.054,35.742,31.070918593
bm_app_tak.rb,7,0.466,0.437,0.407,0.219442776
bm_app_tak.rb,8,0.134,0.116,0.12,0.609364573
bm_app_tak.rb,9,0.308,0.295,0.296,1.525736718
bm_app_tarai.rb,3,0.511,0.382,0.344,0.709290175
bm_app_tarai.rb,4,0.167,0.122,0.118,0.905816932
bm_app_tarai.rb,5,0.189,0.144,0.144,1.030503938
bm_binary_trees.rb,1,6.864,6.692,6.639,12.025711319
bm_cal.rb,500,2.2,1.867,1.833,0.062568644
bm_count_multithreaded.rb,1,0.073,0.074,0.05,0.012108059
bm_count_multithreaded.rb,2,0.019,0.011,0.012,0.025325136
bm_count_multithreaded.rb,4,0.105,0.02,0.022,0.050673613
bm_count_multithreaded.rb,8,0.086,0.023,0.022,0.102579553
bm_count_multithreaded.rb,16,0.042,0.059,0.094,0.21250447
bm_count_shared_thread.rb,1,0.241,0.138,0.17,0.080128314
bm_count_shared_thread.rb,2,0.098,0.038,0.024,0.082104663
bm_count_shared_thread.rb,4,0.099,0.128,0.032,0.094009886
bm_count_shared_thread.rb,8,0.124,0.027,0.054,0.120324372
bm_count_shared_thread.rb,16,0.088,0.015,0.019,0.154811186
bm_dirp.rb,10000,4.541,4.455,4.441,1.863511046
bm_eval.rb,1000000,4.491,4.56,4.707,7.876100008
bm_fannkuch.rb,6,0.062,0.432,0.19,0.007114008
bm_fannkuch.rb,8,0.502,1.107,0.989,0.1507911
bm_fannkuch.rb,10,50.513,6.264,6.726,18.042393483
bm_fasta.rb,1000000,13.882,9.54,10.177,12.851979537
bm_ffi_printf.rb,100000,1.527,1.432,1.291
bm_fiber_ring.rb,10,0.101,0.113,0.131,0.001007393
bm_fiber_ring.rb,100,0.855,0.761,0.79,0.030967561
bm_fractal.rb,5,2.09,1.58,1.53,0.93005927
bm_gc_array.rb,1,7.829,7.157,7.229,12.24713569
bm_gc_mb.rb,500000,2.576,2.081,1.916,0.222765324
bm_gc_mb.rb,1000000,2.277,1.91,1.517,0.39520561
bm_gc_string.rb,1,4.87,4.0,4.139,3.206387641
bm_knucleotide.rb,1,1.483,1.387,1.589,0.828069893
bm_list.rb,1000,0.266,0.326,0.369,0.044710756
bm_list.rb,10000,1.439,1.781,1.47,0.945048024
bm_lucas_lehmer.rb,9689,4.622,4.418,4.865,3.68530918
bm_lucas_lehmer.rb,9941,4.242,4.239,4.202,3.970807606
bm_lucas_lehmer.rb,11213,5.612,5.607,5.606,5.610278576
bm_lucas_lehmer.rb,19937,25.359,25.392,25.438,30.027744676
bm_mandelbrot.rb,1,27.053,6.834,6.841,11.82915287
bm_mergesort.rb,1,2.459,2.704,2.655,0.634431072
bm_mergesort_hongli.rb,3000,3.602,2.153,2.013,1.051787785
bm_meteor_contest.rb,1,8.814,7.687,7.093,5.414414037
bm_monte_carlo_pi.rb,10000000,5.513,2.64,2.602,3.601572239
bm_nbody.rb,100000,2.565,2.838,9.161,1.453437175
bm_nsieve.rb,9,10.249,5.631,4.904,3.152448165
bm_nsieve_bits.rb,8,2.504,1.575,1.735
bm_observ.rb,100000,0.735,0.83,0.965,0.634667472
bm_open_many_files.rb,50000,1.846,1.962,1.742,0.337391056
bm_partial_sums.rb,2500000,12.38,6.01,5.673,4.106710878
bm_pathname.rb,100,36.819,36.55,36.977,51.513046303
bm_pi.rb,1000,0.15,0.194,0.198,0.026569098
bm_pi.rb,10000,2.234,2.616,2.437,1.134023485
bm_primes.rb,3000,1.042,0.788,0.791,0.009233218
bm_primes.rb,30000,1.557,1.016,1.085,0.080950506
bm_primes.rb,300000,11.466,13.418,12.531,0.876083562
bm_quicksort.rb,1,2.704,3.341,2.658,1.436051322
bm_read_large.rb,100,6.741,5.478,7.563,1.874533733
bm_regex_dna.rb,20,6.027,5.377,5.648,2.58552195
bm_reverse_complement.rb,1,10.19,10.177,9.964,2.970941762
bm_simple_connect.rb,1,0.057,0.021,0.02,0.004395492
bm_simple_connect.rb,100,0.066,0.077,0.082,0.017746046
bm_simple_connect.rb,500,0.398,0.409,0.167,0.040297191
bm_simple_server.rb,1,0.015,0.019,0.019,0.00035803
bm_simple_server.rb,100,0.011,0.014,0.023,0.006342151
bm_simple_server.rb,100000,1.498,1.489,1.407,1.271364101
bm_so_ackermann.rb,7,0.255,0.125,0.141,0.082319106
bm_so_ackermann.rb,9,0.297,0.301,0.378,1.274635837
bm_so_array.rb,9000,2.275,1.795,1.472,1.66010868
bm_so_count_words.rb,100,5.606,,,2.397716423
bm_so_lists.rb,1000,2.275,2.137,1.888,3.283312256
bm_so_lists_small.rb,1000,1.165,0.915,1.14,0.669490576
bm_so_matrix.rb,60,1.161,0.668,0.621,0.50011304
bm_so_object.rb,500000,0.609,0.588,0.492,0.359849775
bm_so_object.rb,1000000,0.592,0.474,0.338,0.729995826
bm_so_object.rb,1500000,0.806,0.457,0.435,1.129540878
bm_so_sieve.rb,4000,21.268,4.946,4.574,8.064972228
bm_socket_transfer_1mb.rb,10000,0.414,0.445,0.397,0.251051054
bm_socket_transfer_1mb.rb,1000000,0.29,0.223,0.215,0.246617349
bm_socket_transfer_1mb_noblock.rb,10000,0.424,0.424,0.414,0.255362238
bm_socket_transfer_1mb_noblock.rb,1000000,0.267,0.224,0.227,0.247377432
bm_spectral_norm.rb,100,0.605,0.629,0.729,0.164405896
bm_sum_file.rb,100,10.6,9.023,7.705,3.752695231
bm_word_anagrams.rb,1,3.919,3.527,3.701,2.846176105
bm_write_large.rb,100,1.34,1.362,1.228,1.35179332
bm_app_factorial.rb,5000,,,,0.035291894
bm_fiber_ring.rb,1000,,,,1.90370835
bm_gc_mb.rb,3000000,,,,1.03987166
bm_mbari_bogus1.rb,1,,,,0.047252289
bm_primes.rb,3000000,,,,10.618325835
bm_so_exception.rb,500000,,,,1.637623923
bm_string_concat.rb,10000000,,,,1.703632752
bm_rdoc_against_itself_darkfish.rb,1,,,,6.079684329
bm_rdoc_against_itself_ri.rb,1,,,,5.346408261
